author	comment	vote
要丸	延续了母体短片的手持和压迫，无处不在的摄影机 ，纪录片式的变焦捕捉，粗砺的真实感把一切审判交给我们，高高在上的鸟瞰拍摄把所有人物交给命运。开头凯旋门的世界杯欢庆，披满国旗的狂欢直接让你坠入这个已经肤色各异的移民法兰西，你知道在这片欢声笑语的背后早已满目疮痍。移民的、贫民的、二等公民的法兰西，各类移民社群与主流隔绝，在贫困社区盘踞形成对立。移民认同问题在时代的行进下并没有得到解决，只有一报还一报的恶性循环，从05年的大骚乱延续，我们看到一个愈来愈糟糕的法国，而迈入20s的我们，将会在欧洲乃至全世界看到更多的“悲惨世界”	2
风间隼	“狮子每天早晨都会祈求上帝，让仁慈者逃过自己的利爪”。国家机器与非洲移民之间的博弈是两种文明的碰撞。在最前线头破血流的是警察和孩子，受伤的却是整个社会。影片视角跟着新调任的警察深入非裔社区，审视两天内的多方角力，并没有下轻易的善恶判断。最后楼道里三角对峙的生死之局，把选择权留给了观众。	2
咯咯精	You can take’em down. -Jim Jarmusch	3
余小岛	街头政治，暴力成长史。。	1
萨库拉	一堂法国社会课，一出人类永恒的巴别塔悲剧，剧作非常善用人物压力之下的选择，张力升级，步步揪心。结尾也很好，因为这样的故事永远没有结尾。@Cannes	2
LiM	这个时代的《为所应为》；直到最后一刻你才发现这部片子真的是雨果式的，带着悲悯，而不是冷酷；于是警察视点是非常有必要的，否则不会有最后一幕的张力，这种视角的纳入甚至比《为所应为》更向前了一步，它绝对不是在同情公权力、为其背书，同时指责孩子们的暴行，相反，它在表明问题的根源在哪；进一步说，纳入的无人机视点更是一绝，它可以作为一种纯粹的客观，是上帝对物质世界的一瞥，在佐证一种正义和公理的存在；最后一幕纳入巴兹（戴眼镜小孩）的视角（无人机的操控者），他透过猫眼，看门外两人的对峙，一个是楼上举着燃烧瓶的伊萨，一个是门外举着枪求救的警察鲁兹，单凭这个镜头已经可以进入年度十佳。	5
KUMA	Le film puise sa force dans son ancrage social et territorial dans la mesure où la fiction alimentée par la circonscription d'un territoire stratifié propulse la (dé)construction d'un milieu politique où la violence acte la débâcle de la balance des rapports de force mettant à l'abri les différents personnages nuancés. On peut reprocher à Ly de se contenter de faire un état des lieux transversal faussement neutre suspendu sur le fil du sensationnalisme, mais la réponse semble se trouver nulle part	2
汪金卫	【上海电影节展映】由短片发展而成的长片处女作。直面法国社会当下尖锐的种族矛盾、警民冲突。生猛强烈，现实有力。善性与恶意共生、误解与矛盾并存。开放式结尾在高潮处戛然而止，犹如在一串省略号后写下一个大大的问号，直击人心。为何非要到以暴抗暴的地步？这样两败俱伤的结果难道不能避免吗？这不是雨果笔下的《悲惨世界》，这是银幕上活生生的“黑暗巴黎”。	2
seamouse	大半时间都以为只是圣丹尼的日与夜，最后突然积蓄爆发成93省小丑。日常是如何酝酿为骚乱，巴黎斯坦警民关系又是如何纠结牵扯，愤怒从何而来发展成啥，都步步为营又一点都不像编剧而出的。	5
水浒三国金刚	燃烧巴黎的浮世绘	0
Chambord	揭露巴黎斯坦基层溃烂的#洪水学#电影。片尾黑人少年团伙的疯狂打砸令人触目惊心。企图制止暴乱的黑人头儿被黑少年击杀，预示了巴黎斯坦大洪水和张献忠的来临。	2
醍醐灌饼	结构其实很神奇，前面80分钟是通向视角舒适区的“诱骗”，只为创造最后的implosion。在电影与平权的想法之间达成了罕见的最大公约数。	6
把噗	暴力史。	2
陆支羽	4.0。1.结尾大赞。2.“这世界上没有邪恶的植物，也没有邪恶的人，有的只是邪恶的培育者。”	1
Ricky925	恐怖分子	0
glim	雨果可以描绘革命年代里人的沉浮，但是他无法预料在未来的巴黎，人们会以另一种方式站上街头。出色的记录风格，很难得一位马里移民能用完全不偏袒的口吻讲述这样的矛盾。	0
六七四十二	看的时候不停脑补黄背心。政客、警察、匪徒，只是身份不同而已，本质都是一样的受邪恶驱使。在全员恶人的设定下，男主的设定就有点“圣母”的味道了。三个人各回各家之后我一度以为影片就到此为止了，没想到“落日之后”更加精彩？？不过，一个被狮子吓尿的小孩，真的拥有那么大的权力吗？跟警察抗衡唉……	2
Unbeliever	又是一部完成度特别高的长片处女作。法国人是天生就和摄影机特别合得来吗？镜头完全舒服。故事让人想起了流浪的迪潘，比单纯复仇的凭空而来好不少。不过整体而言也是价值有限的作品，尤其是强加给它任何时政意义都有点扯。请看美国电视剧《火线》和《南城警事》，能拍的美国人早都拍尽了。（故事甚至比这个片子更好，当然是占了篇幅的便宜）不过这也间接证明本片的故事本质上和什么移民、种族之类的议题都关系不大，就是贫穷的问题。	2
怂囧小赫	特别好，一直揪着心看完这部电影，结局开放式虽然有点意犹未尽，但是想想结局确实不是终点，和现实世界一样，没有结局就是最好的结局，无所谓政府、种族、权利、宗教，有人的地方就会有犯罪、杀戮、仇恨、无助，致那些敢于牺牲，为人性活着的人！同时也开始理解西方世界的所谓“自由”意味着什么！	1
二月飞雪	民变动乱此起彼伏，从巴黎、委内瑞拉再到香港，有多少深陷其中的个体不知不觉就成了事件的一块积木。	2
xiaoxiongdi	暴力是乌比斯环，但love&peace依旧也无法解决。在这样的体系下，怎会不充满愤怒？	3
Sabrina	警察、便衣警察也太像黑社会小混混了。	0
玛丽维拉仙女	天山 体验特别差。遇到了因为有人说话高声以暴制暴的行为。我的那个方位基本听不到任何声音，不论他的观影体验是被谁的声音毁掉的，我原本舒适的观影体验是被他毁掉的	4
半小时	黑人移民导演，对影片中到处偷东西然后聚众袭击警察的黑人小男孩，给予了天然的同情	12
Ada的B计划	仍是类型片语境中的作品，丝毫不避讳人物的符号化与脸谱化，不避讳街区高概念化的方方面面。真正异于常规类型作品在于，致密的意识形态表达通过松散的场景组织被呈出。只有少许均衡性的缺憾，例如全片文本铺设实完全无暇顾及警察在街区外的人物形象，却仍然试图在最后一幕来临前让他们短暂回归生活，原可以充分奔腾的群体力量一定程度被导演对文本饱和度的追求所制约。	5
kylegun	新警巡更，大佬讲数，剥削欺凌小混混；一个寻找小狮子的儿童寓言，演变为向不义不公成人世界发泄民愤的童党火拼；没有《悲惨世界》冉·阿让的救赎，只有贫民楼的街垒；莫洛托夫鸡尾酒扔还是不扔，这是个问题	0
草原上的马	真的是黑人世界，恭喜	7
仲夏之门	虽不乏意图稍显直白的处理，譬如幼狮失踪，马戏团驯兽和对雨果及其巨作的引用，但还是为创作者对捕捉社群特征的高度灵敏和直觉力，与构建政治生态链的完备而折服。视点的游走切换并未干扰叙事节律，无人机鸟瞰带出多方割据乱斗的破败地界，与小景别手持镜头相穿插，正巧凸显了三名警员共同和各自的两难困境，既是执法部门代表，也是所有矛盾冲突的见证和背负者。开头紧扣时代氛围的庆祝游行何其巧妙，与结尾楼道对峙相衬，传达出无比沉重的画外音。	2
porcos	谁是片尾雨果句中的庄稼人？难道不该是体制嘛？为什么把所有箭头对准警察？难道如果警察不管闲事不去帮忙找狮子，然后第二天吉普赛人与黑人火拼烧光整个社区死掉几十个人才满意吗？三个警察面对围攻打伤了偷狮子的人的脸就罪该至死吗？为了自己贪玩偷狮子差点引起火拼的人能和冉阿让相比吗？冉阿让最后救了沙威，而不是向他扔燃烧瓶，这就是差距。导演想像雨果那样批判社会批判制度批判司法不公，却拳拳只打在警察身上，警察这个锅不背	2
神奇女侠	垃圾结局	4
麻绳	没看出好在哪里，听说原本是个短片，难怪罗里吧嗦的。	5
btr	到2/3处还以为要陷入简单化的好／坏警察故事，结果有个重口味的黑色结局几乎拯救了整个电影。一曲（似乎不得不、近乎无解又像是唯一的答案的）暴力的悲歌。	1
逻格斯歌	像看了一篇热血的深度报道，聚焦于青少年的顽劣，反而让我们忽略了真正的问题：吉普赛，穆兄会，黑人帮会以及警察维持秩序靠的早已不是法，而是暴力均势。电影暗示而没有说明的是，晚上巡逻更麻烦。里子原来还是面子，真的里子从未显示，此一留白让人顿觉恐怖。
看完听到有一中年男在说：干嘛不开枪！莫非是看到了里子的智者？	2
又又	竟然是处女作，也太成熟了吧，剧本超棒，人物角色设置也很好，三个警察不同性格。论警民冲突是怎样产生的，一头小狮子引发的一场bao动（话说小辛巴也太可爱了），结尾雨果点题，开放结局也很赞。10.6@BIFF第六部（露天电影院，10度的风把我吹傻逼了，冻得失去知觉）	2
BIG J	影片圈起来一个街区，用一个新兵蛋子闯入者的视角来看这个封闭世界的人性样本。片尾字幕引述雨果的话，为影片的方向定格：人性本善论。这几行引文完全多余，否则可以加一星。除去极端分子，大写的人不是恶的，同时也不是善的，而是天下攘攘皆为利来的。黄金三镖客之一的李·马文演了一辈子反派，被问及为啥把坏人演得这么好时，他说：“我没有演坏人，我演的是那些挣扎度日的人。”那么：人，挣扎度日，善吗？恶吗？丛林里随便一只猴子，挣扎度日，善吗？恶吗？	0
老罗Lazzaro	世界本没绝对的坏人，政警对立，暴力与歧视的问题不断，只会导致冲突升级。直击社会现实，寓意深刻，全程在一种焦躁不安的氛围里，张力很足，留白的结尾意味深长。作为处女作很惊艳。	0
河东	Being colored就是原罪吗？当警察可以代表法律吗？不参加帮会的瘦小的航拍小黑仔，仅仅是因为录下了暴力执法的警察，被追打，威胁。他还有什么别的选择呢，结尾他举着燃烧瓶面对举枪的警察的时候。心里突然哽咽了一下，他本来是个上帝视角的和平派，但这个滋养罪恶的世界把他推到了“恐怖分子”这一边。无论是有色人种还是警察，小民视角下，他们从未是赢家。	1
阿德	今年最佳之一，非常写实的诠释了种族仇恨是怎么升级的。作为处女长片，必须给五星。	0
翻滚吧！蛋堡	最后二十分钟太猛了！导演基本不预设观点，但却能聪明地用影像调动其各方情绪，将无解的矛盾抛向更远	0
KKK	偶然事件往往被追认为历史的起点，这是进化论决定的，但变革势能必然引起系统的眦裂，辩证法的余音... 权力是极不稳定的稳定体，电影的重点不在种族或宗教，相反，作为权力的爪牙，种族内外矛盾昭示权力缺席的在场，在各种范畴的社会区隔背后支配一切，因此这不是一部直接反映现实的电影而是反映理念的电影，正如小说题名可以套上任何一种事实，但都多少分有雨果纪念碑式的革命思想。电影最后终结于持械相向已然达到浪漫革命的高潮。这里的暴力不是中性的，因为暴力可以只容纳实施者单独存在，而当有所指向必然占据一侧，但权力却是中性的，因为其存在依赖于把多方牵连其中。 影片还是有不少类型片元素，虽然现在讨论类型不类型意义不大，但类型有助于接近观众，在战时确实有点鼓宣的味道。with L	1
千反田奉太郎	8.6/10 狮子-权力-怒火，将猎物雏鸡撕裂，将高卢雄鸡肢解。镜头的调度无与伦比，视角跟随警车穿梭于街区巷弄，构建出了种族、族群、宗教不稳定平衡的城市图景；无人机视角的客观叙事穿插其中，将愤恨、不解、惊恐、彷徨的情绪一并收容，又好似雨果时期/殖民主义的怨念依旧在空中回荡，静心见证这个世界迎来反噬	2
fire	今年第一个惊喜，法国片儿警的日常。很羡慕他们电影的自由，但是他们应该会羡慕我们的街道。	0
方枪枪	一只狮子引发的惨案，对比当下的法兰西，看着真五味杂陈。	0
FrozenElsa	【8.0】#siff2019#拍摄上老陈的不像是处女作，不错的命题作文，片子出人意料的有不少的笑点，还是不错的哦。	1
你的益达	有挺多意象的作品。	0
子戈	爆燃的开场与暴乱的结尾，连缀起足球与政治的微妙关系。
足球可以瞬间点燃国家主义情绪，将底层戾气转化为共同体幻觉。
可是，四年一次的世界杯终会过去。
当“冠军”的亢奋消散后，底层人重回暴力街区，等待他们的仍是混乱的生活。

影片以警察斯蒂芬的视角，带我们近看一个属于成人的，无望的，又暗通款曲、自成体系的地下巴黎。
那里早已遗忘了公平和正义，唯有暴力和媾和才能维持微妙的“和平”。
而最终，当所有人都以为争端已被摆平后，不想故事才刚刚迎来高潮。

一群孩子，成为了高潮的主角。
他们原本被排挤在世界之外，看球也只能站在外场。
但是最终，当成人们自以为是地重回“和平”后，孩子们站出来，将世界拖入末日。

这不是一场暴民的狂欢。
而是一只随时可能被压倒的骆驼，意外地等来了最后一根稻草。	2
Gawiel	前一半：成人世界的不同人所维护的不同秩序看似针锋相对，实则达成平衡相辅相成；看到这里正要达成略带愤世嫉俗但心安理得的“我看透世界，世界不会变化”——后一半：去你的秩序吧！！！	2
今言	黑绿终将统治世界。	0
tangerine	就一句话，你凭什么把自己和《悲惨世界》相提并论？	2
圣灵降临的叙事	这不比寄生虫牛逼啊这个？？	2
孤岛影者	四星半。“既没有莠草，也没有坏人，只有外行的庄稼汉。”又一部惊人的长片处女作，拉吉·利由其同名短片扩展，从05年法国骚乱摄取视角。本以为短片会如《肤色》般震撼，没想到导演的这部长片更为接近。无人机鸟瞰镜头航拍注视着社区，手持下自如变焦反而提供现实感，摄影机如枪械般对准各个人物，而观众全程站于其后静静旁观。后置家庭指向小孩生活环境，再浸入小孩骚乱的有力结局，几乎接近完美的表达效果，再回想如何从开头世界杯狂欢后层层坠落。达米安·勃纳尔面对偷窃小孩的两次举枪（狮笼和对峙）特别棒，与之前多处铺的面部、眼神特写形成对比。难得一见同《为所欲为》收尾的情感传达！	1
潇潇墨鱼	多族裔混居的法国就像一座活火山，随时可能被某种意外点燃，滋生不可收拾的暴力；凯旋门前八方同聚万人空巷的盛大场景，也许只存在于世界杯夺冠之后的狂喜瞬间。如果说《暴力街区》之类的影片，是用浪漫夸张的手法展现法国黑帮的暴力和犯罪，《悲惨世界》则用现实主义的白描手法，直陈在移民冲突、阶层分化和行政失序等多重困境下撕裂的法国。电影最后20分钟虽然调度精彩，有强大的戏剧张力，但这种过于直白的“暴力滋生暴力”的呈现，少了一些余味，而且和前面部分绵密递进的情绪相比，有泄气之嫌。	1
xlL	法国大都会美国化就算了 法国电影也这么美国化下去··（大借香港 四个势力的生态平衡能跟现实有一定对照 也只能再加一星 （世界的秩序要真在穷街陋巷里 就好办了	3
小刀周遠	首先说个题外话：不要拿电影里的情形和香港比，出发点不同的事是无法对比的，就此得出结论就更是谬以千里了。

片末引用雨果的话说没有坏的庄稼一说，这是一个糟糕的比喻——如果庄稼比作少年儿童们的话。社会化之前，人类并非冰清玉洁，此其一；社会化之后，还有诸多因素，比如家庭、社会制度，还有社区关系，以及信仰等等。所以暴动的青少年们周围是什么因，那最后就得到什么果，此其二。

导演聪明之处是开放式结局，败笔处是引用雨果之言，其心太显。	1
zhang 2nd	结尾惊了	0
发不沾霓	太狠了，完全喘不过气，放映结束后听到最多的就是“呼～”和“putain”，看的过程就像被人按在地上死命地揍，毫无还手之力，比[上帝之城]更残忍，比[怒火青春]还“暴力”，如果说评判电影好坏的一大标准是让人体验“它所呈现的世界的真实”，那么从这个角度来看，这大概是2019年最牛逼的片子了(真!金棕榈)，根本忽视了视听技法和叙事技巧，只是身处这片唯一的绝望大地，你都不知道他到底是怎么制造出这些表演和拍摄的，尽管在现实世界里什么也改变不了，但在电影所创造的那个世界里，希望的火种还是没有灭掉；p.s.过山车的一天，情绪在两极来回狂奔	2
雪	不，朋友，这个世界有杂草	1
All that 幽幻	8.4 延续了短片的思路，并且加强了视听体验和环境铺垫，同时改掉很多短片里的不足，结尾实在是力度太强，看得人喘不过气！	1
法式曌影	【B】始终以突兀的变焦镜头提醒观众身为旁观者，不再以摄影机赋予观众视点，而使观者成为摄影师的角色置身其中，如同片中用无人机拍摄的小男孩，成为这“悲惨世界”的见证者。不过这种看似“混乱”的镜头调度更考验导演的掌控，可能对于处女作还是难了些，导演对镜头感有天赋，但对人物调度就相形见拙了。有几次运动场面完成的非常好，但同时也只有运动的时候才是好的。作为处女作完成度已经很高了，结尾最终结下的多重道德困境实在巧妙，但开放式结局实在鸡肋了，导演还是不够狠。	1
水脉	蛇鼠一窝的地方，矛盾只有暴力一种诉诸形式	0
feeling	影20181：“如果只有发泄怒火才能换来倾听呢？",暴力伤亡又换来了什么？有人倾听吗？某些人从来不道歉。3个代表个性鲜明，各代表一派人。没有引入宗教之争，导演很克制。(二战爆发不就是一群复仇的年轻人么？)	2
傻乐的猫	巴黎版的Southland?发达国家也有脏乱差，so what??	0
Panda的阴影	2020年第92届奥斯卡金像奖最佳国际影片5部提名电影终于全部看完，整体观感稍胜过2019年第91届五部最佳外语片提名影片，成为近几年个人最心仪的一届。今年五部电影我个人的喜欢度大致排名：《寄生虫》韩国、《痛苦与荣耀》西班牙、《蜂蜜之地》北马其顿、《悲惨世界》法国、《基督圣体》波兰。—— 联想到1995年的《怒火青春》，然后第N次深深地感受到自己那个理想的和谐美好世界是多么天真且难以实现。且不论不同人对是非观念的差异，有些人即使明辨善恶也不代表会行善弃恶，而复杂的现实情况还可能也会让好人做了坏事。看到 Issa 被抓进狮笼那段我流泪了，Ruiz 那种想把事情处理好有时却无能为力的感觉，我也曾体会过。—— 朋友们，请记住：世上本来没有坏庄稼也没有坏人，只有坏的庄稼人。-维克多·雨果 《悲惨世界》	0
水水	庄稼人。。。	0
刘浪	从短片拓展到长片几乎是天差地别的，不仅将街区景观作了详细填充，势力的抗衡也更加清晰。没想到，短片中球场缉拿与搜家的对象都由无人机的拥有者换成了无人机的拍摄对象。可以在同一个叙述框架内，实现对暴力承受对象的随意切换，如此体系下，所有人的处境又有何不同。第三部分的对抗，几乎是对短片的彻底改写，平静的、看似解决的、搁置的既有矛盾全都被点燃。	1
斯托科夫	SIFF 前面极像一部银河映像作品，后20分钟则升华到权力的辩证法。缺点是结构过于精巧，而且后段权力转换的段落有些跳跃。	1
华盛顿樱桃树	#SIFF22#从剧本到不着痕迹的场面调度，节奏控制配乐安插，如同故事一样沉稳老辣。处女作拍成这个样子，怕是很多导演都可以失业了。由里到外的好看，内容上的锋芒和感官上的刺激一个都不少。挑不出任何毛病。	1
シリウス	确实是短片的升级。底层社会和群氓动乱都得到了足够的篇幅去刻画，代价是暴露了自己作为新人导演在节奏把控上的失衡。航拍＋近距离跟拍无疑是不错的展现街头的方式，但我认为导演在调度上还是未能物尽其用。有tie热点之嫌但是每个点都cue的恰到好处，后半程的噼里啪啦真的是惊呆了！（好的那种）Ps.这个片真的是，前半段大家笑哈哈，后面一个大妈破口大骂了起来。	1
潜意识	非常狠的处女长片。格局小，立意高，暴力滋生暴力。幼狮、少年、警察处在平行世界与不同阶级中，无人机无疑是审时度势的旁观者。更悲剧的是现实生活的黑暗仍然在继续与蔓延，法兰西，太难了。	0
时间之葬	如此坦诚地直面各个种族、阶层和社群在当下法国造成的痼疾，这样的痼疾就像是那种难以启齿又无法根治的尖锐湿疣，被感染的每一个群体都身不由己地被逼至两难的死角。	0
小A	非常好的处女作。巴黎底层社会贫民区是不稳定种族多发地，反映这一题材的影视很多，本片选取最具体的警民冲突，虽然矛盾开端责任始于警察，但故事设置了不同背景的警察，给了警察一方申辩的机会，综合反映社会现实，点出了彻底解决矛盾的艰难现状。无人机既能给出全知视角，又能作为剧情的重要部分参与其中，这个素材的利用率非常高，值得借鉴。	0
佳蓝	以为尘埃落定之时，仇恨才刚发芽。	1
臻圣	7.8分。令我意外的是，影片取了雨果巨作《悲惨世界》的片名，但纵观全片没有常规意识所想象的宏大铺垫，而是聚焦城市小人物间爆发的冲突。它不是赘述历史，它是在利用《悲惨世界》的内核刻画当代。
“从来没有坏的杂草或坏的人，只有不好的种植者”。一语道破，导演抨击的是统治层，带着种族、宗教的交叠，在这个混乱的土壤里孕育出的边缘人物也并非他人口中的不堪，而是一种自由奋起的呼喊。	2
给艾德林的诗	镜头一碎，故事倒不见得就长到可以概括一切，反观各个事出有因的视角叙述，同样也是问题多多，尤其是大疆的俯视全知客观，是整体多线客观之上的客观，所谓以小见大来折射政治的景观意图碎片理所应当就会不时打断反讽叙述，来完成意识形态输出，整片大致作对的只有结尾的不封闭，故事没结束，斗争就没结束，略微玩味还有点左的意味。	3
公民阿良	我们永远正确，从不道歉。	0
垂下稻穗	社群中传染的暴力，成熟的不像处女作。	1
猫奴十二年	世界杯给这个国家带来转瞬即逝的团结幻象，三方阵营——警察，混混，亲警察的混混——都不是正义之师。张力最足的时刻，是最后的爆发冲突前警车缓缓驶过街道，一步步落入敌人的陷阱。总体比较平淡，叙事用来太多笔墨来铺垫和展示环境，新来的警察身上少点东西，不够立体	3
铅纸鹤	严厉谴责某些导演，国家有好的一面不拍，专门盯着那些负能量的拍，还妄图参选奥斯卡最佳国际影片，真是丢人丢到国外去了。某些电影奖还给最佳影片，简直不像话，我建议以后都给禁了。法国那么多美景，文化，爱情，卢浮，塞纳，破轮，铁塔，都不能拍吗？动不动就想着闹革命，老区人民不要面子的吗？这些矛盾不都是当年永居的时候闹的吗当时怎么不说话呢？还有某些观众，还看，就说你呢，狮崽子丢了就丢了呗，至于动刀动枪的吗，看看有的国家，自行车丢了都无所谓，要啥自行车啊
（请手动翻译成法语）	1
mr.CharlesCCCC	当人群在香榭丽舍大道上欢庆世界杯胜利时，这是所有人的法兰西。但当一群人回到穷破的社区之时，这却不再是他们的法兰西。悲惨世界的本质，便是看着邪恶从孩童身上绽放，抹去他们眼睛里原本的纯洁，取代而之的是愤怒与恐惧。	1
二月鸟语	SIFF19，拿评审团奖有点委屈了···评委会大奖一点问题都没有··设备：爱丽莎mini和安琴optimo变焦镜头	1
影愈者	已经不是谁对谁错的问题了，这已经是一种完全的撕裂与对立，这里面的问题实在太多了。警察暴力执法；移民社区各种犯罪比比皆是；社区各个头目在社区內圈地自萌，只顾自己的利益；这一切该说什么好，本就是一个混乱的地方上哪找清流？ 打开国门让难民进入，只知道高喊人道与人权主义，放进来后不能说是完全的不管不问，但这一切都表示欧洲国家其实没有做好准备，放任自流把问题交给问题解决，催生出更多的问题，或许只有在片头球赛法国夺冠的时候，大家不论种族不论肤色不论宗教，都一起为法国欢呼的时候，他们才都是一样的法国人，而不是种种矛盾与对立！	1
路西法尔	后十五分钟大开眼界，贫民窟巷战见识了法国人民的武德，烟花真是神器。另外虽然片子里的事很糟心，但论糟心程度真不如在你瓣刷上十分钟广播。	0
梵目	循序渐进，逐渐高潮，很多短评是在说电影主要讲种族宗教，其实种族宗教只是冲突发生的社会背景，毕竟歧视并不是全民化的，而警察里面本身还有其他种族，还有一个中间派警察，所以不太是讲种族信仰的，电影更是在讲权力对抗的，探讨公权力的权力上限在哪里，电影将对立双方设置为种族歧视的警察和外来移民底层百姓，警察权力过大，是底层百姓对抗的重要原因，就和电影结尾来自原著《悲惨世界》的话一样，权力的执行者才是罪魁祸首。	1
Xs	福茂先生映前说马克龙总统都推荐了此片，结合电影来看心还是挺大的。。	2
飞檐	设计痕迹会牺牲一些自然状态下的张力吗？青少年世界和成年世界的对立才是最显性的。	1
马西嘻嘻嘻	二战结束到七十年代初法国经济发展强势的三十年（les trentes glorieuses）因为缺少劳动力从而大量让“外来务工人员”进入法国工作，经济发展停滞之后又管理不善，让他们在郊区的类似贫民窟的地方聚居住，没有人关心他们，有的只是躲避和瞧不起。最后一句话应证法国对于这些敏感地区管理的彻底失败，很多社会问题的源头也来自这样的失败 作为处女长片真的很给力 @ mk2 bibliothèque	1
盲忙	他们为了更好的生活来到这里，我们也想要这里变得更好，但结果却越来越糟，这似乎是移民原地故事的某种倒带，一两百年后原地没有变得更好，宗主地却因为“赎罪”变得更差了，算是某种孽力回馈吗？最后一场楼内戏太震撼，目瞪口呆。	0
西北化为乌有	开战！	1
。	的确是很生猛的处女作，尤其是整个不设立场的视角，一会跟随警察走街串巷，一会又在天台看警“匪”追逐，无人机的镜头简直是堪称神来之笔，并非上帝视角的怜悯，反而是一种根植于日常的冷漠和绝望感。在几组势力相互割据的交缠中展现出某种极强的人物附着力，同时又以一种先“跌入谷底”再“以下犯上”的姿态去铺陈这种革命的预见性。虽然部分情节的设定有些觉得刻意煽动，结尾的开放结局反而也觉得有些泄气，不过倒也算是抛出了一个难解之题。总之，使命已达，导演可期。	1
probe	结构虽然精巧，但故事构造的强意识形态太重，每一段都好似在强制敲击观众必须思考其中蕴含的冲突象征，结局更是好似为求结论升华而硬构造证明，一大群青年群像都成了导演的表达道具。这类的“关注现实”的电影看似切入点犀利，却由于表达的意志太强而让故事的呈现不够浑然天成，回味价值是不持久的。而用雨果形容的问题与此片相比较更是有偷换概念的内容标榜感。	0
Annihilator	#SIFF第五场#
名为《悲惨世界》，实际上也的确是雨果作品的精神延续——同样从种族阶级宗教的维度去思辨善与恶的永恒命题。作为一部处女作，完成度相当高，完全配得上戛纳评审团奖的桂冠。导演不似那些文绉绉的欧洲导演，永远站在观察者的上帝视角去观察社会百态，而是作为一个参与者，用纪录片感的镜头叙述事件的各个角落，同时辅以极具生活化的碎片台词和演员流畅自然的表演，仿佛真的随着主角走在巴黎街头。几场追逐戏和最后的暴乱都非常有视觉冲击力，大概是归功于短片拍摄的经验，有不少调度上的闪光点，但文戏对不了解法国文化和民族精神的观众不太友好。最后在高潮中戛然而止，也许可以这样理解——导演的目的是将邪恶的萌发过程而非破坏性结果展示给我们，导演的目的达到了，那个燃烧瓶是否如愿以偿地爆炸，也就留给观众自行抉择了。	2
Frances	前面有点拖沓，后面稳！2019siff@大光明	1
jj73浅之	开场万人大游行先炫技了，警民冲突讲得很细，很难不想到东方之珠呢。橡皮子弹开抢和无人机拍摄略弱，但最后20分钟值两星，如能放大这个结局可能会更好。法国电影真有意思啊，一边是精致高雅的强艺术性创作，一边是控制艺术性表达的社会题材。	0
MaclovenZD	位处上海天山的大后排中间双数。最后半小时单数位水平方向有骚动，不过也只有制止者的声音传过来。心疼那片观众包括制止者。（福茂卖片太积极，去年迦百农是有见面会，今天完全算突袭吧……我猜17日晚他会去新衡山推介《痛苦与荣耀》）	1
热带素描	感觉更像寓言片，或者说社会话题教学片……对这一类手法的社会议题操作越来越缺乏感知	1
Jin Unrated	后排法国人从头笑到尾……烦。前半部分节奏不行，基本在靠最后二十分钟让人入戏，同情。	0
斯齊佐飛力尼克	这种没有答案的问题看着真令人头疼，导演的节奏挺吸引人的。
“我们没想伤害谁，不是故意开枪的。”
“你们没错，总是没错，你们配了武器但不懂使用，还是运气不好？”
“无论是不是意外，视频泄露出去，只会火上浇油。”
“如果只有发泄怒火才能换来倾听呢？”
“之前的愤怒换来什么？最糟糕的是你们的愤怒也没人在乎。”	0
江寒园	我们这个时代的精神文化状况。	0
m89	“在绝对正确的革命之上还有一个绝对正确的人道主义。”法国版《警察故事》，有助于进一步破除西方迷信，这个“反犯罪大队”其实就相当于生活课吧。种族、宗教、非法移民问题共冶一炉，积蓄的愤怒在最后到达爆点。这个开放式结局倒没有什么好称赞的——一般导演自己都不知道怎么收场时就会采取这种逃避策略了。	0
欲剩	“这个世界没有坏的庄稼或坏的人，只有坏的庄稼人”。	0
小公园还在吗	故事蛮扎实的，视听也很出彩。当你以为就讲了这件小事，以小朋友被强权欺负为结束的时候，大的矛盾就爆发了。顶着“扫恶”之名去作恶，即使意识到自己错了也不去道歉，人的生命安危不如权力重要，但民众的恐惧和愤怒哪里是那么好操控的呢，在利用它的同时就要考虑到被反噬的可能性。开放式的结尾，其实是把拿着火瓶的小男孩和拿着枪的警察的视角交给了观众，你怎样选择，你在这个事件里就是怎样的立场。	2
KinG羽	种族矛盾版的“训练日”，视听语言极具爆发力和张力。多方势力交缠复杂又交代清晰，最后处在最底端同时也代表未来的“新势力”揭竿而起，将矛盾推向极致，镜头随着手中的燃烧瓶渐黑，种族问题将去往何处不得而知。足球就像吗啡，能让矛盾短暂地缓和、能让各方短暂地团结，可惜药效有限。	0
Andarta	十分戏剧/好莱坞（戏剧冲突，情节推动）的前半节。但实际上法国的真实情况更糟。这个部分见仁见智，但是能拍出来已经很好了，特别是男主不停的用眼神和表情来讲话，十分加分。个人很喜欢。十分可惜的是，最后一出太过理想化，最后一幕男主演的很直白也很好。整个电影只有2-3个星的标准，给四个星主要是因为主题。大部分中国人看来不了解法国cite的情况。	0
本初老儿	二幕精彩，三幕揪心，二三幕之间的转场最为动人！熬过前四十分钟，剧情就紧凑多了。如果开头铺垫能更紧实的话，就完美了。	0
